emotion.negative,emotion.positive,relation.person,relation.conflict,relation.cheated,relation.divorce,relation.love,relation.birth,relation.loss,relation.rejection,relation.family_shaming,relation.reunion,abuse.physical,abuse.mental,abuse.sexual,self_critical,,,,,
abandoned,Able,Husband ,fight,betray,divorce,love,pregnancy,death,elimination,embarrassment,reuniting ,torture,pressurise,molesstation ,fat ,,,,,
abused,Absolved,wife,arguments,bluff,divorcement,loving,pregnant,lost,exclusion,abashment,assembly,inflicting pain,coerce,harassment,thin,,,,,
accused,Abundant,spouse,disagree,burn,disassociate,partner,child-bearing,died,repudiation,confusion,get-together,torment,push,molest,ugly,,,,,
addicted,Accelerated,child,contend,cheat,dissociate,affection,impregnation,die,veto,discomfiture,making up,put on rack,curse,harass ,uglier ,,,,,emotion.negative
afraid,Acceptable,daughter,fued,chisel,divorce,loved,fertilization,pass away,bounce,disconcertment,homecoming,ill treat,peer pressure,sexual abuse,ugliest,,,,,emotion.positive
aggravated,Accepted,son,squabble,con,disunite,passionate,birth,decease,brush-off,fluster,reconciliation,punishment,brainwash,rape,hidious,,,,,relation.person
aggressive,Accepting,mother,quarrel,double-cross,disjoint,intimacy,give birth,expire,dismissal,mortification,return,abuse ,pester,violate,unattractive,,,,,relation.conflict (self other)
alone,Accomplished,father,battle,deceive,divorce,attachment,labor,bereavement,nix,shame,arriving ,harsh treatment,persuade,attack,overweight,,,,,relation.cheated
angry,Accountable,dad ,clash,delude,split_up,endearment,Child birth,casualty,pass,guilt,debarkation,punish,bully,hurt,bulky,,,,,relation.divorce
anguish,Achieving,daddy,competition,dupe,breakup,smitten,parturiency,demise,rebuff,humiliation,alighting ,persecution,bludgeon,harm,plump,,,,,relation.love
annoyed,Active,mommy,combat,entice,decouple,infatuated with,conception,annihilation,renunciation,chagrin,meet,maltreatment,bulldoze,injure,chubby,,,,,relation.birth
anxious,Adaptable,mom ,strife,exploit,disassociate,besotted with,begetting,cease,turndown,agitation,date,maltreat,harry,assault,skinny,,,,,relation.loss (self other)
apprehensive,Adequate,mum,struggle,finesse,disconnect,liking,breeding,cessation,cold shoulder ,chagrin,session,wound,intimidate,maul,bony,,,,,relation.rejection
argumentative,Admirable,mummy,war,flimflam,disjoin,inclination,generation,parting,disallowance,discomfort,meeting ,persectue,prod,grope,scraggy,,,,,relation.family_shaming
artificial,Admired,parents,collision,gyp,disjoint,fondness,procreation,rest in peace,hard time ,discomposure,gathering ,scourge,constrain,paw,piece of shit,,,,,relation.reunion
ashamed,Adored,guardian,contention,hoodwink,dissever,lust,siring,be no more,kick in teeth ,dismay,social gathering ,afflict,dragoon,goose,bitch,,,,,abuse.physical
assaulted,Affluent,colleague,contest,impose on,dissociate,desire,spawning,depart,no dice,disquiet,associate,victimize,insulting,taking advantage,stupid,,,,,abuse.mental
at a loss,Agreeable,partner,emulation,jockey,disunite,ardour,parturient,succumb,no go ,distress,soiree,bully,ignoring,,useless hopeless,,,,,abuse.sexual
at risk,Agreeable,friend,encounter,juggle,divide,yearning,prenatal,perish,no way,disturbance,unification,crucify,isolating,,worthless,,,,,
atrocious,Alert,companion,fracas,lure,separate,adulation,childbearing,breathe one's last,nothing doing ,perturbation,bee ,mortify,humilialting,,hopeless,,,,,
attacked,Ambitious,s/o,fray,manipulate,part,besottedness,gestational,drop off,slap in the face,unease,social,rack,excluding,,foolish,,,,,
avoided,Amenable,significant other,striving,mislead,ramify,romance,brooding,curtains,thumbs down,uneasiness,barbecue,infliction of anguish,abandonment,,coward,,,,,
awful,Amused,bride,tug-of-war,play,resolve,love-affair,conceiving,decease,disapproval,upset,convention,harrow,critisizing,,hairy,,,,,
awkward,Appreciated,bride groom,disagreement,play for a sucker,sever,affair,impregnated,demise,dismissing,disgrace,bringing together,plague,disrespecting,,stinky,,,,,
bad,Approving,groom,discord,rook,split,liaison,,dissolution,no way,ignominy,event ,agonize,emotional abuse,,fatty,,,,,
badgered,Assertive,mistress,dissension,rope in,sunder,amour,,doom,refusing ,shame,old friends get together ,curse,verbal vomit,,underweight,,,,,
baffled,Assured,soulmate,enmity,scam,uncouple,Liefde,,end,rejecting ,debasement,matinee,excruciate,fat shaming,,unworthy,,,,,
banned,At ease,boyfriend,debate,seduce,unlink,Amor,,exit,rejection,degradation,business meeting ,cause suffering,body shaming,,crap ,,,,,
barren,Attached,girlfriend,controversy,shave,unyoke,Armastus,,expiration,retraction,humiliation,conversazione ,thrust,manipulation,,shit,,,,,
beat,Attentive,family,conflict,snow,breakdown,Pag-ibig,,expiry,repudiating,mortification,infare,beating,dominate,,,,,,,
beaten down,Attractive,sister,dispute,stick,decompose,Rakkaus,,grave,renouncement,,class reunion,beat,domination,,,,,,,
